Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jude Bellingham,"MF,FW",eng England,20,2003,7,7,670,7.4,2,1,3,2,0,0,2,0,0.6,0.6,0.4,1.1,26,36,36,0.27,0.13,0.4,0.27,0.4,0.09,0.06,0.15,0.09,0.15,Matches
László Bénes,MF,sk Slovakia,26,1997,2,0,71,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,0,0,8,0,0,0,0,0,0.23,1.55,1.78,0.23,1.78,Matches
Bartosz Bereszyński,DF,pl Poland,31,1992,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Steven Bergwijn,FW,nl Netherlands,26,1997,2,2,90,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Medon Berisha,MF,al Albania,20,2003,1,0,21,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
Victor Bernth Kristiansen,"DF,MF",dk Denmark,21,2002,4,2,156,1.7,0,1,1,0,0,0,0,0,0,0,0.3,0.3,5,1,18,0,0.58,0.58,0,0.58,0.02,0.17,0.19,0.02,0.19,Matches
Matúš Bero,"MF,DF",sk Slovakia,28,1995,2,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
Jaka Bijol,DF,si Slovenia,24,1999,4,4,390,4.3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.01,0,0.01,Matches
Veljko Birmančević,DF,rs Serbia,25,1998,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
Daley Blind,FW,nl Netherlands,33,1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bendegúz Bolla,DF,hu Hungary,24,1999,3,2,204,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,13,0,0,0,0,0,0.03,0.1,0.13,0.03,0.13,Matches
Endre Botka,DF,hu Hungary,29,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
Jarrod Bowen,FW,eng England,27,1996,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,0,3,0,0,0,0,0,0,0.49,0.49,0,0.49,Matches
Róbert Boženík,FW,sk Slovakia,24,1999,4,2,208,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,10,0,0,0,0,0,0.06,0.02,0.07,0.06,0.07,Matches
Volodymyr Brazhko,MF,ua Ukraine,22,2002,3,2,182,2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,3,1,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,Matches
